sms,label
"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea
",0
"U guys never invite me anywhere :(
",0
"hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?
",0
"… we r stayin here an extra week, back next wed. How did we do in the rugby this weekend? Hi to and and , c u soon ""
",0
"I have lost 10 kilos as of today!
",0
"SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!
",1
"I had askd u a question some hours before. Its answer
",0
"Jay says that you're a double-faggot
",0
"No..he joined today itself.
",0
"You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!
",1
"You intrepid duo you! Have a great time and see you both soon. 
",0
"I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts
",0
"Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp £1.50/msg
",1
"My planning usually stops at ""find hella weed, smoke hella weed""
",0
"It took Mr owl 3 licks
",0
"Yay! You better not have told that to 5 other girls either.
",0
"XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription 
",1
"How come she can get it? Should b quite diff to guess rite...
",0
"O ic lol. Should play 9 doors sometime yo
",0
"Sorry I flaked last night, shit's seriously goin down with my roommate, what you up to tonight?
",0
"He said i look pretty wif long hair wat. But i thk he's cutting quite short 4 me leh.
",0
"haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons
",0
"V skint too but fancied few bevies.waz gona go meet &othrs in spoon but jst bin watchng planet earth&sofa is v comfey; If i dont make it hav gd night
",0
"Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!
",1
"FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free
",1
"I see the letter B on my car
",0
"Cant think of anyone with * spare room off * top of my head
",0
"You will be in the place of that man
",0
"Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
",0
"No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.
",0
"URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
",1
"What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not
",0
"My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care
",0
"Goodnight da thangam I really miss u dear.
",0
"Ugh fuck it I'm resubbing to eve
",0
"Ok
",0
"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr
",1
"Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?
",0
"Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
",0
"Are you free now?can i call now?
",0
"Gudnite....tc...practice going on
",0
"Going to join tomorrow.
",0
"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar
",1
"Ask g or iouri, I've told the story like ten times already
",0
"Hey... Why dont we just go watch x men and have lunch... Haha 
",0
"What not under standing.
",0
"For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..
",0
"Urgent! Please call 09061213237 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+
",1
"Lol that's different. I don't go trying to find every real life photo you ever took.
",0
"May i call You later Pls
",0
"Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?
",0
"We took hooch for a walk toaday and i fell over! Splat! Grazed my knees and everything! Should have stayed at home! See you tomorrow! 
",0
"Oh all have to come ah?
",0
"sorry, no, have got few things to do. may be in pub later.
",0
"Joy's father is John. Then John is the NAME of Joy's father. Mandan
",0
"I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.
",0
"Aight, we'll head out in a few
",0
"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.
",0
"Send me your resume:-)
",0
"Ffffffffff. Alright no way I can meet up with you sooner?
",0
"Baaaaaaaabe! Wake up ! I miss you ! I crave you! I need you!
",0
"Stupid.its not possible
",0
"How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.
",0
"I'm in solihull, | do you want anything?
",0
"Dear good morning now only i am up
",0
"somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
",0
"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...
",0
"Hey so this sat are we going for the intro pilates only? Or the kickboxing too? 
",0
"Hope you are not scared!
",0
"R u in this continent?
",0
"Get ready to put on your excellent sub face :)
",0
"Yep get with the program. You're slacking.
",0
"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text
",1
"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*
",0
"WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
",1
"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING
",0
"If you r @ home then come down within 5 min
",0
"Yeah, probably earlier than that
",0
"Are you sure you don't mean ""get here, we made you hold all the weed""
",0
"Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx
",0
"Yeah just open chat and click friend lists. Then make the list. Easy as pie
",0
"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo
",0
"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say...
",0
"Where in abj are you serving. Are you staying with dad or alone.
",0
"Sorry, I'll call later
",0
"Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...
",0
"Yes its possible but dint try. Pls dont tell to any one k
",0
"I think just yourself …Thanks and see you tomo
",0
"The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...
",0
"K... Must book a not huh? so going for yoga basic on sunday?
",0
"Ok which your another number
",0
"Ahhh. Work. I vaguely remember that! What does it feel like? Lol
",0
"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?
",0
"We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now
",1
"Hi good mornin.. Thanku wish u d same..
",0
"+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm
",1
"Then u drive lor.
",0
"Mum not going robinson already.
",0
"How many licks does it take to get to the center of a tootsie pop?
",0
"8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity 
",1
"Somebody should go to andros and steal ice
",0
"So li hai... Me bored now da lecturer repeating last weeks stuff waste time... 
",0
"alright, I'll make sure the car is back tonight
",0
"Whatsup there. Dont u want to sleep
",0
"How. Its a little difficult but its a simple way to enter this place
",0
"Oh, yes, I've just been a little under the weather so i've kind of been coccooning at home
",0
"Okie
",0
"I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-)
",0
"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck
",0
"Does uncle timi help in clearing cars
",0
"Have your lunch and come quickly and open the door:)
",0
"And is there a way you can send shade's stuff to her. And she has been wonderful too.
",0
"Ever green quote ever told by Jerry in cartoon ""A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt
",0
"What part of ""don't initiate"" don't you understand
",0
"Be happy there. I will come after noon
",0
"That means you got an A in epi, she.s fine. She.s here now.
",0
"* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train
",0
"What Today-sunday..sunday is holiday..so no work..
",0
"OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?
",0
"Yeah do! Don‘t stand to close tho- you‘ll catch something!
",0
"Are u awake? Is there snow there?
",0
"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...
",0
"Beauty sleep can help ur pimples too.
",0
"They finally came to fix the ceiling.
",0
"Am going to take bath ill place the key in window:-)
",0
"I need to come home and give you some good lovin...
",0
"Call him and say you not coming today ok and tell them not to fool me like this ok
",0
"aathi..where are you dear..
",0
"There is no sense in my foot and penis.
",0
"Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?
",0
"Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
",1
"Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! 
",0
"4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
",1
"I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon
",0
"Annoying isn't it.
",0
"Near kalainar tv office.thenampet
",0
"What time you coming down later? 
",0
"Nah can't help you there, I've never had an iphone
",0
"You have 1 new message. Please call 08712400200.
",1
"You have got tallent but you are wasting.
",0
"Surly ill give it to you:-) while coming to review.
",0
"Its ok, if anybody asks abt me, u tel them..:-P
",0
"Cancel cheyyamo?and get some money back?
",0
"COME BACK TO TAMPA FFFFUUUUUUU
",0
"FREE entry into our £250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
",1
"Dont think so. It turns off like randomlly within 5min of opening
",0
"Reason is if the team budget is available at last they buy the unsold players for at base rate..
",0
"Lol now I'm after that hot air balloon!
",0
"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence..
",0
"Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU
",1
"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*
",0
"Sounds great! Im going to sleep now. Have a good night!
",0
"Sorry, I'll call later
",0
"For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
",0
"So u workin overtime nigpun?
",0
"Mum, hope you are having a great day. Hoping this text meets you well and full of life. Have a great day. Abiola
",0
"I know you are serving. I mean what are you doing now.
",0
"URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
",1
"Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app 
",1
"Whens your radio show?
",0
"Eh ur laptop got no stock lei... He say mon muz come again to take a look c got a not...
",0
"Don know..he is watching film in computer..
",0
"Dude sux for snake. He got old and raiden got buff
",0
"Do 1 thing! Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here..""
",0
"Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
",0
"Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804
",1
"We have pizza if u want
",0
"Hi.:)technical support.providing assistance to us customer through call and email:)
",0
"You are not bothering me but you have to trust my answers. Pls.
",0
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589
",1
"For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p
",1
"Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
",1
"Your next amazing xxx PICSFREE1 video will be sent to you enjoy! If one vid is not enough for 2day text back the keyword PICSFREE1 to get the next video.
",1
"The wine is flowing and i'm i have nevering..
",0
"Merry Christmas to you too babe, i love ya *kisses*
",0
"Watching tv lor... Y she so funny we bluff her 4 wat. Izzit because she thk it's impossible between us?
",0
"U coming 2 pick me?
",0
"By the way, 'rencontre' is to meet again. Mountains dont....
",0
"So that means you still think of teju
",0
"Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..
",0
"Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back
",0
"Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am
",0
"Cool, text me when you head out
",0
"Would me smoking you out help us work through this difficult time
",0
"Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;
",0
"Yup i thk cine is better cos no need 2 go down 2 plaza mah.
",0
"No. I.ll meet you in the library
",0
"Dear we got  &lt;#&gt;  dollars hi hi
",0
"Ok.. Ü finishing soon?
",0
"Nothing will ever be easy. But don't be looking for a reason not to take a risk on life and love
",0
"* You gonna ring this weekend or wot?
",0
"Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123
",1
"Hmm ill have to think about it... ok you're forgiven! =D
",0
"Ya had just now.onion roast.
",0
"Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx
",0
"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P
",1
"Can ü call me at 10:10 to make sure dat i've woken up...
",0
"That's y i said it's bad dat all e gals know u... Wat u doing now?
",0
"Can. Dunno wat to get 4 her...
",0
"Can ü send me a copy of da report?
",0
"Not yet chikku..going to room nw, i'm in bus..
",0
"Jesus christ bitch I'm trying to give you drugs answer your fucking phone
",0
"Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.
",1
"Where at were hungry too
",0
"So ü'll be submitting da project tmr rite?
",0
"You could have seen me..i did't recognise you Face.:)
",0
"Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...  
",0
"Yep, by the pretty sculpture
",0
"I am getting threats from your sales executive Shifad as i raised complaint against him. Its an official message.
",0
"I notice you like looking in the shit mirror youre turning into a right freak
",0
"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or £10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+
",1
"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!
",0
"Huh means computational science... Y they like dat one push here n there...
",0
"Am okay. Will soon be over. All the best
",0
"Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA
",1
"We'll you pay over like  &lt;#&gt; yrs so its not too difficult
",0
"Yup no more already... Thanx 4 printing n handing it up.
",0
"Where r e meeting tmr?
",0
"Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow
",1
"Hi ....My engagement has been fixd on  &lt;#&gt; th of next month. I know its really shocking bt....hmm njan vilikkam....t ws al of a sudn;-(.
",0
"Will do, you gonna be at blake's all night? I might be able to get out of here a little early
",0
"God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8
",0
"Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
",0
"A pure hearted person can have a wonderful smile that makes even his/her enemies to feel guilty for being an enemy.. So catch the world with your smile..:) GOODMORNING &amp; HAVE A SMILEY SUNDAY..:)
",0
"All sounds good. Fingers . Makes it difficult to type
",0
"SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.
",0
"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep.
",0
"Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too
",0
"I'm leaving my house now...
",0
"No break time one... How... I come out n get my stuff fr ü?
",0
"Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going
",0
"get ready to moan and scream :)
",0
"Hi.what you think about match?
",0
"I sent them. Do you like?
",0
"Sorry, I'll call later in meeting
",0
"HAPPY NEW YEAR MY NO.1 MAN
",0
"Where are you ? You said you would be here when I woke ... :-(
",0
"Armand says get your ass over to epsilon
",0
"Que pases un buen tiempo or something like that
",0
"Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
",0
"Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
",0
"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him.
",0
"HARD BUT TRUE: How much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!鈥┾??〨ud evening...
",0
"Convey my regards to him
",0
"I've got it down to a tea. not sure which flavour
",0
"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.
",0
"Ur HMV Quiz cash-balance is currently £500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg
",1
"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day.
",0
"I can. But it will tell quite long, cos i haven't finish my film yet...
",0
"on a Tuesday night r u 4 real
",0
"No need lar i go engin? Cos my sis at arts today...
",0
"Oh is it? Send me the address
",0
"Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
",1
"Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468
",1
"Then what about further plan?
",0
"Urgent Ur £500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF
",1
"Watching tv lor...
",0
"Then ur physics get a-?
",0
"No de.am seeing in online shop so that i asked.
",0
"That's significant but dont worry.
",0
"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter
",0
"Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow
",0
"LOL that would be awesome payback.
",0
"I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.
",0
"What was she looking for?
",0
"Thanks for picking up the trash.
",0
"What pa tell me.. I went to bath:-)
",0
"Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.
",0
"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8
",1
"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.
",0
"Ok. She'll be ok. I guess
",0
"Ya very nice. . .be ready on thursday
",0
"Never y lei... I v lazy... Got wat? Dat day ü send me da url cant work one...
",0
"Well, i'm gonna finish my bath now. Have a good...fine night.
",0
"I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.
",0
"S now only i took tablets . Reaction morning only.
",0
"+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm
",1
"The new deus ex game comin early next yr
",0
"Pathaya enketa maraikara pa'
",0
"Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.
",0
"Science tells that chocolate will melt under the sunlight. Please don't walk under the sunlight. BCoz,I don't want to loss a sweet friend.
",0
"X course it 2yrs. Just so her messages on messenger lik you r sending me
",0
"How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
",0
"I will reach ur home in  &lt;#&gt;  minutes
",0
"My battery is low babe
",0
"Your brother is a genius
",0
"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing.
",0
"Ok ill send you with in  &lt;DECIMAL&gt;  ok.
",0
"I am joining today formally.Pls keep praying.will talk later.
",0
"Didn't try, g and I decided not to head out
",0
"I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time
",0
"goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468
",1
"What i mean was i left too early to check, cos i'm working a 9-6.
",0
"Nothing. Can...
",0
"Christmas is An occasion that is Celebrated as a Reflection of UR... Values..., Desires..., Affections...&amp; Traditions.... Have an ideal Christmas...
",0
"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..
",0
"I dont knw pa, i just drink milk..
",0
"Otherwise had part time job na-tuition..
",0
"Sorry, I'll call later
",0
"U coming back 4 dinner rite? Dad ask me so i re confirm wif u...
",0
"""Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry""
",0
"If u sending her home first it's ok lor. I'm not ready yet.
",0
"How long does applebees fucking take
",0
"Call me da, i am waiting for your call.
",0
"There the size of elephant tablets & u shove um up ur ass!!
",0
"Now thats going to ruin your thesis!
",0
"How long has it been since you screamed, princess?
",0
"5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
",1
"I will lick up every drop :) are you ready to use your mouth as well?
",0
"Not from this campus. Are you in the library?
",0
"Can you open the door?
",0
"Do you mind if I ask what happened? You dont have to say if it is uncomfortable.
",0
"Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes
",0
"Ü come lt 25 n pass to me lar
",0
"Thanx a lot 4 ur help!
",0
"Me i'm not workin. Once i get job...
",0
"If You mean the website. Yes.
",0
"From 5 to 2 only my work timing.
",0
"I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate)
",1
"Thank you baby! I cant wait to taste the real thing...
",0
"Its ok, called mom instead have fun
",0
"In e msg jus now. U said thanks for gift.
",0
"Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow
",1
"Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!
",0
"Msg me when rajini comes.
",0
"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,
",0
"Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...
",0
"U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
",1
"I will come with karnan car. Please wait till 6pm will directly goto doctor.
",0
"Lol they don't know about my awesome phone. I could click delete right now if I want.
",0
"U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08
",1
"what are your new years plans?
",0
"Great. So should i send you my account number.
",0
"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)
",0
"Short But Cute: ""Be a good person, but dont try to prove it.."" .Gud noon....
",0
"Romantic Paris. 2 nights, 2 flights from £79 Book now 4 next year. Call 08704439680Ts&Cs apply.
",1
"Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!
",1
"oh ya... Got hip hop open. Haha i was thinking can go for jazz then zoom to cine... Actually tonight i'm free leh... And there's a kb lesson tonight
",0
"I called but no one pick up e phone. I ask both of them already they said ok.
",0
"Was the actual exam harder than NBME
",0
"I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo
",0
"How much is torch in 9ja.
",0
"Haha, just what I was thinkin
",0
"Happy new year to u too!
",0
"Hi di is yijue we're meeting at 7 pm at esaplanade tonight.
",0
"""GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI""
",0
"thanks for the temales it was wonderful. Thank. Have a great week.
",0
"You still coming tonight?
",0
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION
",1
